StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
48,Texas,48027022600,"Bell County, TX - 48027022600",2015,25%,
48,Texas,48027022801,"Bell County, TX - 48027022801",2015,0%,
48,Texas,48027022900,"Bell County, TX - 48027022900",2015,2%,
48,Texas,48027023000,"Bell County, TX - 48027023000",2015,9%,
48,Texas,48027023103,"Bell County, TX - 48027023103",2015,0%,
48,Texas,48027023104,"Bell County, TX - 48027023104",2015,0%,
48,Texas,48027023105,"Bell County, TX - 48027023105",2015,0%,
48,Texas,48027023106,"Bell County, TX - 48027023106",2015,1%,
48,Texas,48027023107,"Bell County, TX - 48027023107",2015,0%,
48,Texas,48027023108,"Bell County, TX - 48027023108",2015,0%,
48,Texas,48027023201,"Bell County, TX - 48027023201",2015,0%,
48,Texas,48027023202,"Bell County, TX - 48027023202",2015,0%,
48,Texas,48027023203,"Bell County, TX - 48027023203",2015,0%,
48,Texas,48027023204,"Bell County, TX - 48027023204",2015,0%,
48,Texas,48027023300,"Bell County, TX - 48027023300",2015,8%,
48,Texas,48027023402,"Bell County, TX - 48027023402",2015,0%,
48,Texas,48027023403,"Bell County, TX - 48027023403",2015,12%,
48,Texas,48027023404,"Bell County, TX - 48027023404",2015,9%,
48,Texas,48027023500,"Bell County, TX - 48027023500",2015,0%,
48,Texas,48027980001,"Bell County, TX - 48027980001",2015,0%,
48,Texas,48027980002,"Bell County, TX - 48027980002",2015,0%,
48,Texas,48027980003,"Bell County, TX - 48027980003",2015,32%,
48,Texas,48029110100,"Bexar County, TX - 48029110100",2015,100%,
48,Texas,48029110300,"Bexar County, TX - 48029110300",2015,100%,
48,Texas,48029110500,"Bexar County, TX - 48029110500",2015,95%,
48,Texas,48029110600,"Bexar County, TX - 48029110600",2015,100%,
48,Texas,48029110700,"Bexar County, TX - 48029110700",2015,100%,
48,Texas,48029110800,"Bexar County, TX - 48029110800",2015,100%,
48,Texas,48029110900,"Bexar County, TX - 48029110900",2015,98%,
48,Texas,48029111000,"Bexar County, TX - 48029111000",2015,38%,
48,Texas,48029120100,"Bexar County, TX - 48029120100",2015,76%,
48,Texas,48029120300,"Bexar County, TX - 48029120300",2015,53%,
48,Texas,48029120400,"Bexar County, TX - 48029120400",2015,41%,
48,Texas,48029120501,"Bexar County, TX - 48029120501",2015,70%,
48,Texas,48029120502,"Bexar County, TX - 48029120502",2015,39%,
48,Texas,48029120600,"Bexar County, TX - 48029120600",2015,62%,
48,Texas,48029120701,"Bexar County, TX - 48029120701",2015,1%,
48,Texas,48029120702,"Bexar County, TX - 48029120702",2015,13%,
48,Texas,48029120800,"Bexar County, TX - 48029120800",2015,75%,
48,Texas,48029120901,"Bexar County, TX - 48029120901",2015,100%,
48,Texas,48029120902,"Bexar County, TX - 48029120902",2015,85%,
48,Texas,48029121000,"Bexar County, TX - 48029121000",2015,56%,
48,Texas,48029121108,"Bexar County, TX - 48029121108",2015,52%,
48,Texas,48029121110,"Bexar County, TX - 48029121110",2015,4%,
48,Texas,48029121111,"Bexar County, TX - 48029121111",2015,6%,
48,Texas,48029121112,"Bexar County, TX - 48029121112",2015,52%,
48,Texas,48029121115,"Bexar County, TX - 48029121115",2015,81%,
48,Texas,48029121116,"Bexar County, TX - 48029121116",2015,87%,
48,Texas,48029121117,"Bexar County, TX - 48029121117",2015,75%,
48,Texas,48029121118,"Bexar County, TX - 48029121118",2015,64%,
48,Texas,48029121119,"Bexar County, TX - 48029121119",2015,99%,
48,Texas,48029121120,"Bexar County, TX - 48029121120",2015,94%,
48,Texas,48029121121,"Bexar County, TX - 48029121121",2015,46%,
48,Texas,48029121122,"Bexar County, TX - 48029121122",2015,32%,
48,Texas,48029121203,"Bexar County, TX - 48029121203",2015,40%,
48,Texas,48029121204,"Bexar County, TX - 48029121204",2015,70%,
48,Texas,48029121205,"Bexar County, TX - 48029121205",2015,45%,
48,Texas,48029121206,"Bexar County, TX - 48029121206",2015,0%,
48,Texas,48029121300,"Bexar County, TX - 48029121300",2015,49%,
48,Texas,48029121402,"Bexar County, TX - 48029121402",2015,43%,
48,Texas,48029121403,"Bexar County, TX - 48029121403",2015,0%,
48,Texas,48029121404,"Bexar County, TX - 48029121404",2015,9%,
48,Texas,48029121501,"Bexar County, TX - 48029121501",2015,8%,
48,Texas,48029121504,"Bexar County, TX - 48029121504",2015,4%,
48,Texas,48029121505,"Bexar County, TX - 48029121505",2015,93%,
48,Texas,48029121506,"Bexar County, TX - 48029121506",2015,8%,
48,Texas,48029121507,"Bexar County, TX - 48029121507",2015,0%,
48,Texas,48029121508,"Bexar County, TX - 48029121508",2015,0%,
48,Texas,48029121601,"Bexar County, TX - 48029121601",2015,15%,
48,Texas,48029121604,"Bexar County, TX - 48029121604",2015,28%,
48,Texas,48029121605,"Bexar County, TX - 48029121605",2015,91%,
48,Texas,48029121606,"Bexar County, TX - 48029121606",2015,22%,
48,Texas,48029121701,"Bexar County, TX - 48029121701",2015,92%,
48,Texas,48029121702,"Bexar County, TX - 48029121702",2015,1%,
48,Texas,48029121802,"Bexar County, TX - 48029121802",2015,40%,
48,Texas,48029121803,"Bexar County, TX - 48029121803",2015,0%,
48,Texas,48029121804,"Bexar County, TX - 48029121804",2015,18%,
48,Texas,48029121808,"Bexar County, TX - 48029121808",2015,100%,
48,Texas,48029121809,"Bexar County, TX - 48029121809",2015,48%,
48,Texas,48029121810,"Bexar County, TX - 48029121810",2015,63%,
48,Texas,48029121811,"Bexar County, TX - 48029121811",2015,66%,
48,Texas,48029121812,"Bexar County, TX - 48029121812",2015,72%,
48,Texas,48029121813,"Bexar County, TX - 48029121813",2015,33%,
48,Texas,48029121903,"Bexar County, TX - 48029121903",2015,54%,
48,Texas,48029121904,"Bexar County, TX - 48029121904",2015,1%,
48,Texas,48029121905,"Bexar County, TX - 48029121905",2015,0%,
48,Texas,48029121906,"Bexar County, TX - 48029121906",2015,41%,
48,Texas,48029121907,"Bexar County, TX - 48029121907",2015,0%,
48,Texas,48029121908,"Bexar County, TX - 48029121908",2015,0%,
48,Texas,48029121909,"Bexar County, TX - 48029121909",2015,2%,
48,Texas,48029121910,"Bexar County, TX - 48029121910",2015,26%,
48,Texas,48029130200,"Bexar County, TX - 48029130200",2015,100%,
48,Texas,48029130300,"Bexar County, TX - 48029130300",2015,100%,
48,Texas,48029130401,"Bexar County, TX - 48029130401",2015,100%,
48,Texas,48029130402,"Bexar County, TX - 48029130402",2015,95%,
48,Texas,48029130500,"Bexar County, TX - 48029130500",2015,100%,
48,Texas,48029130600,"Bexar County, TX - 48029130600",2015,99%,
48,Texas,48029130700,"Bexar County, TX - 48029130700",2015,100%,
48,Texas,48029130800,"Bexar County, TX - 48029130800",2015,89%,
48,Texas,48029130900,"Bexar County, TX - 48029130900",2015,48%,
48,Texas,48029131000,"Bexar County, TX - 48029131000",2015,89%,
48,Texas,48029131100,"Bexar County, TX - 48029131100",2015,100%,
48,Texas,48029131200,"Bexar County, TX - 48029131200",2015,95%,
48,Texas,48029131300,"Bexar County, TX - 48029131300",2015,40%,
48,Texas,48029131401,"Bexar County, TX - 48029131401",2015,6%,
48,Texas,48029131402,"Bexar County, TX - 48029131402",2015,38%,
48,Texas,48029131503,"Bexar County, TX - 48029131503",2015,43%,
48,Texas,48029131504,"Bexar County, TX - 48029131504",2015,7%,
48,Texas,48029131505,"Bexar County, TX - 48029131505",2015,54%,
48,Texas,48029131506,"Bexar County, TX - 48029131506",2015,15%,
48,Texas,48029131507,"Bexar County, TX - 48029131507",2015,100%,
48,Texas,48029131601,"Bexar County, TX - 48029131601",2015,9%,
48,Texas,48029131606,"Bexar County, TX - 48029131606",2015,5%,
48,Texas,48029131608,"Bexar County, TX - 48029131608",2015,31%,
48,Texas,48029131609,"Bexar County, TX - 48029131609",2015,35%,
48,Texas,48029131610,"Bexar County, TX - 48029131610",2015,21%,
48,Texas,48029131611,"Bexar County, TX - 48029131611",2015,0%,
48,Texas,48029131612,"Bexar County, TX - 48029131612",2015,0%,
48,Texas,48029131613,"Bexar County, TX - 48029131613",2015,0%,
48,Texas,48029131614,"Bexar County, TX - 48029131614",2015,0%,
48,Texas,48029131615,"Bexar County, TX - 48029131615",2015,26%,
48,Texas,48029131700,"Bexar County, TX - 48029131700",2015,17%,
48,Texas,48029131801,"Bexar County, TX - 48029131801",2015,0%,
48,Texas,48029131802,"Bexar County, TX - 48029131802",2015,0%,
48,Texas,48029140100,"Bexar County, TX - 48029140100",2015,89%,
48,Texas,48029140200,"Bexar County, TX - 48029140200",2015,56%,
48,Texas,48029140300,"Bexar County, TX - 48029140300",2015,45%,
48,Texas,48029140400,"Bexar County, TX - 48029140400",2015,44%,
48,Texas,48029140500,"Bexar County, TX - 48029140500",2015,93%,
48,Texas,48029140600,"Bexar County, TX - 48029140600",2015,95%,
48,Texas,48029140700,"Bexar County, TX - 48029140700",2015,5%,
48,Texas,48029140800,"Bexar County, TX - 48029140800",2015,45%,
48,Texas,48029140900,"Bexar County, TX - 48029140900",2015,66%,
48,Texas,48029141000,"Bexar County, TX - 48029141000",2015,92%,
48,Texas,48029141101,"Bexar County, TX - 48029141101",2015,69%,
48,Texas,48029141102,"Bexar County, TX - 48029141102",2015,86%,
48,Texas,48029141200,"Bexar County, TX - 48029141200",2015,82%,
48,Texas,48029141300,"Bexar County, TX - 48029141300",2015,78%,
48,Texas,48029141402,"Bexar County, TX - 48029141402",2015,41%,
48,Texas,48029141403,"Bexar County, TX - 48029141403",2015,98%,
48,Texas,48029141404,"Bexar County, TX - 48029141404",2015,57%,
48,Texas,48029141600,"Bexar County, TX - 48029141600",2015,71%,
48,Texas,48029141700,"Bexar County, TX - 48029141700",2015,2%,
48,Texas,48029141800,"Bexar County, TX - 48029141800",2015,9%,
48,Texas,48029141900,"Bexar County, TX - 48029141900",2015,16%,
48,Texas,48029150100,"Bexar County, TX - 48029150100",2015,29%,
48,Texas,48029150300,"Bexar County, TX - 48029150300",2015,91%,
48,Texas,48029150400,"Bexar County, TX - 48029150400",2015,90%,
48,Texas,48029150501,"Bexar County, TX - 48029150501",2015,65%,
48,Texas,48029150502,"Bexar County, TX - 48029150502",2015,99%,
48,Texas,48029150600,"Bexar County, TX - 48029150600",2015,97%,
48,Texas,48029150700,"Bexar County, TX - 48029150700",2015,90%,
48,Texas,48029150800,"Bexar County, TX - 48029150800",2015,100%,
48,Texas,48029150900,"Bexar County, TX - 48029150900",2015,80%,
48,Texas,48029151000,"Bexar County, TX - 48029151000",2015,44%,
48,Texas,48029151100,"Bexar County, TX - 48029151100",2015,76%,
48,Texas,48029151200,"Bexar County, TX - 48029151200",2015,40%,
48,Texas,48029151301,"Bexar County, TX - 48029151301",2015,10%,
